Lemma_Sense_Id;Example_Sentence_From;Example_Sentence_To
3111;She fixed the meal for the children.;Udělala ( or: přichystala, or: nachystala) dětem jídlo.
3112;The reporter interviewed the president for thirty minutes.;Reportér udělal s prezidentem třicetiminutový rozhovor.
3113;He signed that he would prefer to meet at seven o'clock that evening.;Udělal posunek, že by dával přednost ve schůzce ten večer v sedm hodin.
3160;Jimmy is very good at doing his homework every day after school.;Jimmy je velmi šikovný, že úkoly dělá každý den po škole.
3161;She has three pets: a dog and two cats.;Má tři domácí mazlíčky - jednoho psa a dvě kočky.
3174;He was almost home when the car broke down.;Byl už skoro ( or: téměř) doma, když se mu porouchalo auto.
3175;It's near nine o'clock.;Je skoro ( or: téměř) devět hodin.
3176;I was nearly in an accident this morning!;Ráno jsem se skoro vyboural.
3180;We are members of the local tennis club.;Jsme členy místního tenisového klubu.
3186;"A green light means ""go"".";"Zelené světlo znamená ""jdi""."
3187;A delay in our flight means a missed connection.;Zpoždění letu by znamenalo, že bychom nestihli spojovací let.
3190;Buying a car usually involves getting a loan from a bank.;Koupě auta obvykle vyžaduje půjčku od banky.
3192;The number of people in the room was greater than a hundred.;Počet osob v místnosti převyšoval stovku.
3193;Are you done? What is the count?;Hotovo? Jaký je součet?
3194;The population of New York is 8 million.;Populace New Yorku čítá osm milionů.
3205;He saw his former wife with another man.;Viděl svou bývalou ( or: někdejší) ženu s jiným mužem.
3209;He used the sledgehammer with great power, splitting the log with a single blow.;Velkou silou uhodil perlíkem a jednou ranou rozpůlil polínko.
3210;This lift has a lot of force and can lift a heavy truck.;Tento výtah má velkou sílu a zvedne i těžký kamión.
3211;Many people think that religion is a force of good in the world.;Mnoho lidí si myslí, že náboženství je ve světě silou dobra.
3212;The force of the wind caused the ball to fall to the side.;Síla větru zanesla míč ke straně.
3213;Our country's military forces include the army and the air force.;Součástí ozbrojených sil naší země je armáda a vojenské letectvo.
3214;He gained a lot of strength by going to the gym every day.;null
3215;The strength of the economy reduced unemployment.;Síla ekonomiky vedla k poklesu nezaměstnanosti.
3217;He moved his grip on the handle for better leverage.;Uchopil držadlo dál, aby zvýšil páku.
3234;She had beautiful green eyes.;Měla krásné zelené oči.
3239;Donna has many cousins.;Donna má mnoho bratranců a sestřenic.
3240;We heard much laughter coming from the room.;Slyšeli jsme z toho pokoje mnoho ( or: hodně) smíchu.
3241;They ate much more than usual yesterday.;Včera jedli mnohem ( or: o mnoho) více než obvykle.
3242;He looks much older now.;Teď vypadá mnohem ( or: o mnoho) starší.
3243;How much does this sandwich cost?;Kolik stojí ten sendvič?
3244;There are a lot of people in there.;Je tam mnoho ( or: velké množství) lidí.
3254;She goes to the local primary school.;Navštěvuje první stupeň zdejší základní školy.
3255;The principal idea is good, but we need to change some details.;Hlavní ( or: ústřední) myšlenka je dobrá, ale některé drobnosti ještě musíme změnit.
3256;He has a basic understanding of how a car works.;Má základní potuchu o principu fungování auta.
3257;Reading and writing are basic skills.;Čtení a psaní jsou základní dovednosti.
3277;He needs to make a choice between the apple and the orange.;null
3287;The company president makes a lot of money.;Prezident ( or: generální ředitel) společnosti vydělává mnoho peněz.
3288;The president attended a summit meeting with other heads of state.;Prezident se účastnil summitu s hlavami ostatních států.
3292;I rode to school on my bike.;Jezdím do školy na kole.
3305;Most flowers are pretty.;Většina květin je hezká.
3306;Most of the soup has been eaten.;Většina polévky je už snězená.
3307;They are requesting that the bulk of the payment be made in advance.;Požadují, aby podstatná část sumy byla zaplacena předem.
3312;Add an even mixture of milk and cream.;Přidej mléko a smetanu ve stejném poměru.
3313;Laurie looked the same after all these years.;null
3314;We go to the same place for our holidays every year.;Každý rok jezdíme na dovolenou na stejné ( or: to samé, or: totožné, or: totéž) místo.
3315;There are an equal number of marbles in each jar.;V obou těchto nádobách je shodný počet kuliček.
3322;The neck connects the head to the body.;Krk spojuje hlavu s tělem.
3323;He is the head of the library association.;Je hlavou sdružení knihoven.
3334;The store sells chocolates, candies and the like.;Ten obchod prodává čokoládu, sladkosti a podobně.
3335;Is it far? Is it further than that house over there?;Je to daleko? Je to dál než tamten dům?
3336;I'll investigate further and get back to you.;Budu dál ( or: ještě) pátrat a dám vám vědět.
3348;The movie was not that good.;Ten film nebyl moc dobrý.
3352;How much does this sandwich cost?;Kolik stojí ten sendvič?
3366;Anyone who wants a driving licence has to take a test.;Každý, kdo chce řidičský průkaz, musí projít testem.
3367;None have been as popular as Marilyn was.;Nikdo nebyl tak slavný jako Marilyn.
3374;The parties made a change to the contract.;Strany provedly změnu ve smlouvě.
3375;The scientists observed a change in the sensor data.;Vědec zaznamenal změnu v naměřených datech.
3376;There has been a lot of upward movement by this stock lately.;V poslední době tyto akcie zaznamenaly pohyb vzhůru.
3377;The switch caused problems because nobody else was informed.;Změna způsobila potíže, protože nikdo o ní nebyl informován.
3391;He isn't anything like his father.;Vůbec ( or: ani trochu) není jako jeho otec.
3392;It is nothing similar to this painting.;S touto malbou se to vůbec ( or: ani náhodou) nedá srovnávat.
3405;I never wanted to be famous.;Nikdy jsem nechtěl být slavný ( or: známý).
3407;He is a known serial killer.;Je známý ( or: proslulý) jako mnohonásobný vrah.
3411;Where will it all end?;Kam to všechno povede?
3412;These stairs go to the attic.;Tyto schody vedou do podkroví.
3413;This shop doesn't carry all brands of clothes.;Tento obchod nemá na skladě všechny značky oděvů.
3414;He coaches the basketball team.;Trénuje ( or: koučuje) basketbalový tým.
3415;Wires conduct electricity.;null
3415;Water conducts sound.;Voda vede zvuk.
3416;We stock a wide selection of musical instruments.;Nabízíme velký výběr hudebních nástrojů.
3423;The chief inspector leads the investigation.;Vedoucí komisař vede vyšetřování.
3424;Drug use often leads to crime.;Konzumace drog často vede ke zločinnosti.
3425;The District Attorney will try the corruption case.;Ten proces týkající se korupce povede okresní prokurátor.
3426;The manager controls the employees under him.;Manažer řídí ( or: vede) své podřízené.
3427;The ex-congressman headed the investigation.;Vyšetřování vedl ( or: řídil) bývalý kongresman.
3428;She keeps records of all expenses.;Vede si záznamy o všech výdajích.
3429;His lies resulted in his dismissal from the company.;Jeho lži měly za následek propuštění.
3430;The boss interviewed three candidates for the job.;Ředitel si pozval na pohovor tři uchazeče o místo.
3431;She managed the network operations.;Řídila síťové operace.
3432;He directed the orchestra.;Řídil orchestr.
3433;The politician campaigned hard for the Senate seat.;Politik vedl úpornou senátní kampaň.
3447;The court is about to rule.;Soud má rozhodnout.
3450;Tess must make a decision.;Tess se musí rozhodnout.
3451;He chose to become an architect.;4p dok
3452;Have you decided if you want to buy that house?;Rozhodl ses, zda budeš kupovat ten dům?
3463;It's five already? I should go home soon.;Už je pět? Za chvíli bych měl jít domů.
3464;There are five people in there.;Je tady pět lidí.
3476;She was the only girl in the class with red hair.;Byla jediná dívka ve třídě se zrzavými vlasy.
3477;I just have a single beer left. Who wants it?;Mám už jen jediné pivo. Kdo ho chce?
3480;We'll divide the class into three different groups.;Rozdělíme třídu na tři různé skupiny.
3481;He and his brother are very different.;On a jeho bratr jsou od sebe velmi odlišní.
3482;There were various responses - everything from denial to anger.;Reakce byly různé - od popírání ke vzteku.
3483;We use miscellaneous methods such as discussion, threats and physical injury.;Používáme různé ( or: rozličné) metody, jako například diskuzi, hrozby a psychické zraňování.
3488;The principal of the school had to discipline the bad students.;Ředitel ( or: ředitelka) školy musel potrestat špatné studenty.
3489;He is the head of the library association.;Je hlavou sdružení knihoven.
3490;Who is the director of this project?;Kdo je ředitelem tohoto projektu?
3491;The manager had fifty people working under him.;Ten manažer měl pod sebou 50 lidí.
3492;The manager was sacked because the team lost too many games.;Prezident klubu dostal padáka, protože tým prohrával příliš často.
3493;The company president makes a lot of money.;Prezident ( or: generální ředitel) společnosti vydělává mnoho peněz.
3500;At present, I have twenty dollars in my wallet.;Teď ( or: momentálně) mám v peněžence jen dvacet dolarů.
3501;Do you know the current temperature?;Jaká je teď teplota?
3508;There hasn't been a military draft since the Vietnam War.;Od vietnamské války se nechodí na vojnu.
3513;Look around and note down everything you can see.;Dívej se kolem a zapiš si vše, co uvidíš.
3514;We always walk by the post office on the way to work.;Na cestě do práce vždy chodíme kolem pošty.
3515;I am a little past the pharmacy right now.;Teď jsem zrovna došel kousek za lékárnu.
3516;Our office has approximately one million in sales.;Naše pobočka dosahuje prodejů v hodnotě přibližně jeden milión.
3517;The dog ran around and around trying to catch its tail.;Pes během dokolečka a snažil se chytit svůj ocas.
3518;It's a beautiful house with trees all around.;Je to krásný dům se stromy všude okolo.
3519;Put the belt around your waist and then fasten it.;Dej si ten pás okolo pasu a zapni ho.
3520;The bus passed me without stopping.;Autobus kolem mne projel bez zastavení.
3533;How often do they bake bread? Once or twice per day?;Jak často pečou chléb? Jednou nebo dvakrát denně?
3534;We often just decide to go home early.;Často si usmyslíme, že prostě půjdeme domů dříve.
3542;Bob is five feet ten and Janet is just as tall.;Bob měří necelých 180 cm a Janet je stejně vysoká.
3543;People from the same area usually talk alike.;Lidé ze stejného kraje obvykle mluví stejně ( or: podobně).
3545;Slander or libel, it amounts to the same thing.;Křivé obvinění nebo pomluva, to je totéž ( or: stejné).
3546;I asked him to stop, but he did it anyway.;Řekl jsem mu, aby toho nechal, ale on to stejně ( or: přesto) udělal.
3553;The chair belongs by the table.;Ta židle patří ke stolu.
3554;This pen belongs to me.;To pero je moje.
3555;To what does this call refer?;Čeho se týká tento hovor?
3556;She belongs to the chess club.;Patří k šachovému klubu.
3558;Women had to fight for the right to vote.;Ženy musely bojovat o volební právo.
3559;You should always follow the law.;Vždy bys měl dodržovat zákony.
3562;The prime minister can call an election whenever he wants to.;Předseda vlády může vyhlásit volby, kdy chce.
3563;The home team has the first pick.;Domácí tým má právo výběru.
3584;She tried to learn as much information as possible about her illness before talking with the doctor.;Než zašla k lékaři, snažila se najít co nejvíce informací o své nemoci.
3585;We keep all that information on these computer disks.;Veškeré informace ( or: veškerá data) uchováváme na těchto discích.
3595;This issue is of national concern.;Je to věc národního zájmu.
3596;My interest in the dispute is based on care for both people.;V tomto sporu mám zájem o obě strany.
3597;Some people have an interest in other cultures while others do not.;Někteří lidé mají zájem o cizí kultury, jiní nikoli.
3598;Are you interested in my problems or not?;null
3607;I want to be a member of the club.;Chtěla bych být členkou tohoto klubu.
3620;My office is on the third floor.;Má kancelář je ve třetím patře.
3621;The candidate for governor had never run for high office before.;Ten kandidát na guvernéra se nikdy předtím neucházel o vysoký úřad.
3634;She drank four beers that night.;Za tu noc vypila čtyři piva.
3638;How did he do it? In what way?;Jak to udělal? Jakým způsobem?
3639;With his tools and his brain, he had the means to repair any stove.;null
3640;In what manner do you do that task?;Jakým způsobem to chceš udělat?
3644;Van Gogh has a distinctive style of painting.;Van Gogh má osobitý styl malování.
3645;She acted in a strange manner.;Chovala se způsobem, který udivoval.
3646;His method of persuasion involves both charm and intimidation.;Jeho způsob přesvědčování zahrnuje šarm i zastrašování.
3647;Her writing is clear and concise.;Jeho styl je jasný a stručný. Píše jasně a stručně.
3656;I don't have much money. Just three dollars. I need to go to the bank.;Nemám moc peněz. Jen tři dolary. Budu si muset zajít do banky.
3657;I need to get some foreign currency for my holidays.;Musím si na dovolenou vyměnit peníze.
3658;You could see that they had wealth by their expensive vacations.;Na nákladných dovolených, které si dopřávali, bylo vidět, že mají peníze.
3674;Don't step in the water!;Nerozšlapej tu vodu!
3675;Waiter, please bring us some water.;Pane vrchní, doneste nám prosím vodu.
3676;Waiter, please bring us three waters.;Pane vrchní, doneste nám prosím tři vody.
3691;It is now eight o'clock.;Teď je osm hodin.
3692;Steve does not have a job now.;Steve je momentálně bez práce.
3693;We are leaving now.;Právě odcházíme. Jsme na odchodu.
3694;At present, I have twenty dollars in my wallet.;Teď ( or: momentálně) mám v peněžence jen dvacet dolarů.
3695;Do you know the current temperature?;Jaká je teď teplota?
3696;I am not available at the moment. Please call back later.;Teď nejsem k dispozici. Zavolejte prosím později.
3697;I'm currently at the supermarket.;Momentálně jsem v supermarketu.
3705;He is still young and has a lot to learn.;Je ještě mladý a má se co učit.
3710;Which month did you go on holiday? Was it February?;Ve kterém měsíci jsi měla dovolenou? V únoru?
3711;She spent a month in the hospital, from June 10 to July 10.;Strávila měsíc v nemocnici, od 10. června do 10. července.
3712;The moon can often be seen at night.;V noci bývá vidět luna.
3715;My favourite show on TV is on Wednesdays at eight o'clock.;Můj oblíbený televizní program ( or: pořad) je každou středu v osm.
3716;He is on the accelerated learning track at his school.;Studuje v intenzivním studijním programu.
3717;He downloaded a new application to manage his email addresses.;Stáhnul si nový program ke správě e-mailových adres.
3718;The program includes three different courses.;Součástí toho programu jsou tři různé kurzy.
3719;What program are you watching now? The news?;Na který program se teď díváš? Na zprávy?
3723;I saw the news on Channel Five.;Viděl jsem zprávy na pátém programu.
3729;There are formal parks and other green areas around the city.;Po městě jsou rozmístěny parky a další území ( or: oblasti) se zelení.
3730;Smith explored unmapped regions of the continent.;Smith probádal nezmapovaná území toho světadílu.
3735;She's an expert in her field.;Ve svém oboru je odbornicí.
3745;France is a European country.;Francie je evropská země.
3746;The film was about the war in Bosnia.;Ten film byl o válce v Bosně.
3747;Yes, son, before there were digital cameras, all cameras used film.;Ano, chlapče, před érou digitálů se do všech foťáků používal film.
3748;Hollywood movies bore me at times. I prefer art films.;Hollywoodské filmy mě občas nudí. Mám radši umělecké filmy.
3749;There was a film of oil coating the lake water.;Na jezeře byla vrstvička oleje.
3756;My uncle wants to start his own business.;Strýček si chce založit vlastní podnik ( or: firmu, or: živnost).
3757;Mike works for a large company.;Mike pracuje pro jednu velkou společnost ( or: firmu).
3758;The consultant firm assessed all the corporate assets.;Konzultantská firma ohodnotila všechna aktiva podniku.
3759;She ran a small advertising firm.;Měla malý reklamní podnik.
3767;The meeting was led by Mister Johnson.;Schůzi řídil pan Johnson.
3768;Hey mister! Mister! You forgot your hat.;Haló, pane! Pane! Zapomněl jste si klobouk.
3769;How can I help you, sir?;Jak vám mohu pomoci, pane?
3779;The president attended a summit meeting with other heads of state.;Prezident se účastnil summitu s hlavami ostatních států.
3780;The manager was sacked because the team lost too many games.;Prezident klubu dostal padáka, protože tým prohrával příliš často.
3781;The company president makes a lot of money.;Prezident ( or: generální ředitel) společnosti vydělává mnoho peněz.
3782;I need to go to the bank to withdraw money today.;Musím si dnes jít do banky vybrat peníze.
3784;Do you know the result of the elections?;Znáš výsledek voleb?
3785;Are you done? What is the count?;Hotovo? Jaký je součet?
3786;The victims of the car accident are in hospital.;Jay byl nejlepší z celé třídy, což byl opravdu slušný úspěch.
3789;The effect of toasting bread for too long is burnt toast.;Výsledkem dlouhého opékání chleba jsou spálené topinky.
3790;Does anyone know the outcome of the negotiations?;Zná někdo výsledek toho jednání?
3803;I get to go to Paris this summer.;V létě budu mít možnost jet do Paříže.
3804;Is there room for improvement with this product?;Je možné ten výrobek nějak vylepšit?
3805;I hope to have the chance to travel.;Doufám, že budeme mít příležitost ( or: možnost) cestovat.
3806;The chance of rain is very slim.;Vyhlídky na déšť jsou nepříznivé.
3807;There might be an opportunity to ski while we are there.;Možná se naskytne příležitost lyžovat, když tam budeme.
3808;We have an opportunity to buy the house at an excellent price.;Naskytla se nám možnost prodat dům za skvělou cenu.
3816;The water main broke and flooded the street, so we didn't have any water.;Hlavní přívod ( or: vodovodní řad) se porouchal a voda zaplavila ulici, takže jsme neměli žádnou vodu.
3822;She cares a lot for her brother, even though he can be annoying.;Má velmi ráda svého bratra, i když umí být otravný.
3823;I'm happy you came.;Jsem rád, že jste přišel.
3824;I like him. He seems like a good guy.;Líbí ( or: zamlouvá) se mi. Vypadá jako hodný kluk.
3825;He really likes her a lot.;Má ji opravdu moc rád.
3826;Do you like pizza?;Chutná ti ta pizza?
3827;Of course I love my mother.;Samozřejmě miluji svou matku.
3828;The Second World War gave rise to a new world order.;Druhá světová válka zrodila nové uspořádání světa.
3829;Society cannot function without order.;Společnost nemůže fungovat bez řádu.
3830;The trains are running on schedule.;Vlaky jezdí podle jízdního řádu.
3831;I'm glad to hear that you are coming.;Jsem rád, že přijdeš.
3832;He's really keen to come and see you.;Nemůže se dočkat, až tě přijde navštívit.
3840;He gained five new customers last month.;Minulý měsíc získal šest nových zákazníků.
3844;Anne cleared a million in income this year.;Anna letos vydělala milion dolarů.
3845;We raised five thousand dollars for the charity.;Na charitu jsme vybrali ( or: získali) pět tisíc dolarů.
3846;The citizens gained the right to send their kids to a different school.;Občané dostali ( or: získali) právo posílat své děti do jiné školy.
3847;We won a camera as a prize in the raffle.;V tombole vyhrál foťák.
3848;The baroness never recovered her stolen diamond collection.;Baronce se nikdy nepodařilo získat zpět ukradenou sbírku diamantů.
3858;At present, I have twenty dollars in my wallet.;Teď ( or: momentálně) mám v peněžence jen dvacet dolarů.
3859;Do you know the current temperature?;Jaká je teď teplota?
3861;He will be arriving soon. Get ready.;Přijede brzo, připrav se.
3863;"I can't talk to him; we still haven't been introduced.";Nemohu s ním mluvit, zatím jsme nebyli představeni.
3864;The group was having a good time at the party. Meanwhile, the others were at a movie.;Skupina se dobře bavila na párty. Ostatní mezitím koukali na film.
3870;I have a question about the procedure.;Mám otázku ( or: dotaz) na ten postup.
3871;There are three questions that need to be resolved.;Je třeba vyřešit tři otázky.
3872;The completion date was a question of time and money.;Datum dokončení je jen otázkou času a peněz.
3876;The ownership of the land is the main issue.;Vlastnictví půdy je hlavním problémem.
3877;Congress needs to deal with the matter of illegal immigration soon.;Kongres se brzy musí vypořádat s otázkou ( or: problémem) ilegální imigrace.
3885;What do you actually do in the office?;Co vlastně v té kanceláři děláš?
3886;The children made houses with blocks.;Děti dělaly domy z kostek.
3887;He works at the bank.;Pracuje ( or: dělá) v bance.
3888;What are you doing?;Co děláš?
3889;Paper comes from trees.;Papír se vyrábí ze stromů.
3890;Just do your job.;Zkrátka jen dělej svou práci.
3891;That factory makes bolts.;Ta továrna vyrábí šrouby.
3892;He acted ill, as he didn't want to go to school.;Simuloval, protože se mu nechtělo do školy.
3893;He formed a ladder out of bits of old wood.;Vytvořil ( or: vyrobil) žebřík z kousků starého dřeva.
3894;He made a cake yesterday.;Včera udělal ( or: dělal) dort.
3895;I know he is eighteen, but I still worry when he goes out alone.;Vím, že mu je osmnáct, ale pořád se bojím ( or: strachuji), když jde sám ven.
3896;I am worried by his drug use.;Trápím ( or: sužuji) se kvůli tomu, že bere drogy.
3897;The boss interviewed three candidates for the job.;Ředitel si pozval na pohovor tři uchazeče o místo.
3898;She modelled professionally for three years.;Tři roky dělala modelku.
3899;The kids monkeyed around for a few minutes while waiting for their father.;Během čekání na otce děti chvíli skotačily.
3900;Radio commercials promote various products.;Reklamy v rádiu propagují různé výrobky.
3901;My wife can shop all day long.;Moje žena by mohla nakupovat celý den.
3902;She treated the situation as if nothing had happened.;Dělala ( or: chovala se), jako by se nic nestalo.
3903;She was troubled by his spending habits.;Dělala si starosti kvůli tomu, jak utrácel.
3904;She joked about his moustache.;Dělal si legraci ( or: srandu) ze svého knírku.
3905;He pretended to eat her ice cream.;Dělal, jako že jí zmrzlinu.
3906;She pretended not to hear him when he said that he loved her.;Předstírala, že ho neslyší, když jí říkal, že ji miluje.
3907;That plant produces tractors.;Ta továrna vyrábí traktory.
3908;She was worried because her boyfriend didn't call.;Dělala si starosti, protože její přítel jí nezavolal.
3909;I got teased at school because my hair looked funny.;Ve škole se mi posmívali, protože jsem měl legrační vlasy.
3910;Would you be interested in volunteering?;Chtěl bys dělat dobrovolnickou práci?
3939;Everyone must go to school as a child.;Každé dítě musí chodit do školy.
3940;I took two years of Spanish in school.;Na střední škole jsem měl dva roky španělštinu.
3941;I go to school at the University of Virginia.;null
3942;This university comprises three colleges: engineering, arts and sciences, and medicine.;Tato univerzita se skládá ze tří fakult: strojírenství, věd a umění a konečně medicíny.
3943;Did you go to college or start working after high school?;Šel jsi po maturitě na vysokou školu nebo do práce?
3944;She goes to the local primary school.;Navštěvuje první stupeň zdejší základní školy.
3945;After graduating from high school, she went to the university.;Po maturitě šla na vysokou školu.
3946;She went to the local college and got a degree in psychology.;Chodila na místní vysokou školu a absolvovala psychologii.
3947;The high school has a new French teacher.;Střední škola má nového francouzštináře.
3962;It will be sunny every day this week.;Celý týden bude slunečno.
3977;Some people prefer American cars.;Někteří lidé dávají přednost americkým vozům.
3978;Yes, he plays football. He is a quarterback.;Ano, hraje americký fotbal. Je zadák.
3979;They set up the market at four o'clock in the morning.;Postavili tržiště ve čtyři ráno.
3980;Do you want to go to the antique market on Sunday?;Nechceš v neděli zajít na trh starožitností?
3981;The market for new houses is strong.;Trh nového bydlení zažívá rozkvět.
3989;Few people know that Schumann's wife was also a gifted composer.;Jen málo ( or: pár) lidí ví, že Schumannova druhá žena byla také nadanou skladatelkou.
3990;She drinks little alcohol.;Pije jen málo ( or: zřídka).
3991;The cashier came up short.;Pokladník zjistil, že má v pokladně méně peněz, než by měl mít.
3992;Few have ever seen this painting.;Tento obraz vidělo jen málo lidí.
3999;There's a monster under my bed.;Mám pod postelí strašidlo.
4000;He is like six feet tall.;Má nějakých sto osmdesát centimetrů.
4001;It is kind of blue, but I'm not sure.;Je to nějaký odstín modré, ale nejsem si tím jistý.
4002;Harry likes an omelette for breakfast.;null
4003;Do you have any bread?;Máš ještě nějaký chléb?
4004;Then, this dog came up and jumped on me.;Pak přiběhl nějaký pes a skočil na mě.
4005;Can you tell me the situation? How many people were there?;Můžeš mi popsat tu situaci? Kolik tam bylo lidí?
4006;The situation in Middle East has the whole world worried.;Situace na Blízkém východě trápí celý svět.
4007;Although any European could qualify, it was a Spaniard in this instance.;Ačkoli by se mohl kvalifikovat libovolný Evropan, v tomto případě to byl Španěl.
4018;There is some political meeting going on in there.;Koná se tam nějaká politická schůze.
4025;Who'd like to play tennis?;Kdo si chce zahrát tenis?
4026;He acted ill, as he didn't want to go to school.;Simuloval, protože se mu nechtělo do školy.
4027;The troupe will act a few scenes from Shakespeare.;Skupina zahraje ( or: bude hrát) několik scén ze Shakespeara.
4028;They performed a skit to amuse the crowd.;Zahráli parodii, aby pobavili dav.
4029;The comedian performs three nights per week.;Ten komik každý týden hraje tři večery.
4031;He plays the piano and the guitar.;Hraje na klavír a kytaru.
4032;The children are playing.;Děti si hrají.
4033;The famous actress stars in a new drama.;Ta slavná herečka hraje hlavní roli v novém dramatu.
4034;The sun is really shining today.;Slunce dnes opravdu hřeje.
4054;Their new house has three bathrooms.;V jejich novém domě jsou tři koupelny.
4056;He's really into home decorating right now.;Teď se intenzivně zabývá dekorací interiérů.
4062;What do you think will happen?;Co myslíš, že se stane?
4063;He thought it was right to pay his taxes.;Zastával názor, že platit daně je správné.
4064;He was saddened, and thought about her situation all the time.;Byl smutný a celou dobu přemýšlel o její situaci.
4065;I think that we should take that road.;Myslím, že bychom se měli dát tamtou cestou.
4066;I believe that it won't rain tomorrow, but I'm not sure.;Věřím, že zítra nebude pršet, ale jistý si nejsem.
4067;Many people assume that a tie indicates a person of authority.;Mnoho lidí předpokládá ( or: se domnívá, or: si myslí), že kravata je znakem autority.
4068;He regarded him as a hero.;Myslí si o něm, že je hrdina.
4075;It is my move next.;Teď jsem na tahu já.
4076;It is your turn, so roll the dice.;Teď si na řadě ty, tak házej.
4077;My parents give me advice about my life.;Rodiče mi dali rady ( or: poučení) do života.
4078;The bank of switches for controlling the lighting is over there.;Řada přepínačů, které ovládají osvícení, je tamhle.
4079;Bob gave us some tips about travelling in Italy.;Bob nám dal několik tipů ohledně cestování po Itálii.
