Lemma_Sense_Id;Translation_Lemma;Translation_Sense;Translation_Gram_Info;Translation_Lex_Info
3120;udØlat kotoul, udØlat kotrmelec;;dok+m;null
3121;udØlat dojem na, zap…sobit na;;4p dok+m;null
3121;imponovat;;3p ned;null
3122;udØlat smyŸku;;dok+§;null
3122;uzavý¡t obvod;elektýina;dok+m;null
3123;udØlat posunek;;dok+m;null
3123;udØlat gesto;;dok+s;null
3123;naznaŸit;;4p dok;null
3124;udØlat sn¡mek;;4p dok+m;null
3125;dØlat lou§e;;ned+§ mn;null
3125;udØlat lou§i;;dok+§;null
3126;udØlat n jezd;policie;dok+m;null
3126;udØlat razii;policie;dok+§;null
3126;udØlat çœ ru;policie: slang;dok+§;null
3127;udØlat n jezd na;akcie: hromadnì spekulativn¡ £tok;4p dok+m;null
3127;dØlat n jezd;akcie: hromadnì spekulativn¡ £tok;4p ned+m;null
3128;pýeruçit jedn n¡;u soudu;dok+s;null
3128;pýeruçovat jedn n¡;u soudu;ned+s;null
3128;udØlat pýest vku;u soudu;dok+§;null
3129;udØlat, uŸinit;;4p dok;null
3129;dØlat, Ÿinit;;4p ned;null
3130;udØlat na m¡ru;;4p dok+pýedl+§;null
3130;dØlat na m¡ru;;4p ned+pýedl+§;null
3131;udØlat vìpad;;dok+m;null
3132;dØlat kotouly;gymnastika;ned+m mn;null
3132;udØlat kotoul;gymnastika;dok+m;null
3133;poý¡dit vìtah, udØlat vìtah;;2p dok+m;null
3133;poýizovat vìtah, dØlat vìtah;;2p ned+m;null
3134;zestruŸnit;;4p dok;null
3134;udØlat vìtah;;dok+m;null
3135;dØlat Ÿernou pr ci;;ned+pý¡d+§;null
3135;udØlat Ÿernou pr ci;;dok+pý¡d+§;null
3136;udØlat vrub;;dok+m;null
3137;udØlat vrub;zaznamenat si nØco;dok+m;null
3138;udØlat naschv l;nØco nØkomu;4p dok+pý¡sl;null
3139;udØlat puky;;dok+m mn;null
3140;udØlat se, propuknout;vyr §ka;dok;null
3141;udØlat vroubky;prom Ÿknut¡m;dok+m mn;null
3142;udØlat kopii;;2p dok+§;null
3143;udØlat se;vulg rnØ: orgasmus;dok;null
3144;udØlat se;vulg rnØ: ejakulovat;dok;null
3145;udØlat slovn¡ hý¡Ÿku;;dok+pý¡d+§ zdrob;null
3145;dØlat slovn¡ hý¡Ÿky;;ned+pý¡d+§ zdrob mn;null
3146;udØlat slovn¡ hý¡Ÿku;;;null
3147;zneschopnit;;4p dok;null
3147;udØlat invalidu z;;2p dok+m;null
3148;skoŸit dopýedu;;dok pý¡sl;null
3148;udØlat vìpad;;dok+m;null
3149;opravovat, korigovat;text;4p ned;null
3149;opravit;text;4p dok;null
3149;dØlat korekturu;textu;ned+§;null
3149;prov‚st korekturu, udØlat korekturu;textu;dok+§;null
3150;udØlat botu;hovorovØ;dok+§;null
3151;udØlat £Ÿetn¡ uz vØrku;;;null
3152;znemo§nit se;;;null
3152;udØlat si ostudu;;;null
3153;udØlat dobrì skutek;;;null
3154;udØlat vçe pro;;4p;null
3154;udØlat maximum pro;;4p;null
3155;dom c¡;ne zahraniŸn¡;pý¡d;null
3156;dom c¡;pronaj¡m  d…m, byt;m;null
3157;dom c¡;vyrobenì doma;pý¡d;null
3158;dom c¡;nepý¡liç elegantn¡;pý¡d;null
3159;dom c¡;zelenina apod.;pý¡d;null
3160;dom c¡ £kol;;pý¡d+m;null
3160;£kol;çkola;m;null
3161;dom c¡ mazl¡Ÿek;;pý¡d+m;null
3161;zv¡ýe;mazl¡Ÿek;s;null
3162;dom c¡ pr ce, dom c¡ povinnosti;dom c¡;pý¡d+§ mn;null
3162;pr ce, povinnost;dom c¡;§;null
3163;dom c¡, dom ckì;;pý¡d;null
3164;dom c¡ spotýebiŸe;;pý¡d+m mn;null
3165;dom c¡ pr ce;;pý¡d+§ mn;null
3166;dom c¡ zv¡ýe;;;null
3167;dom c¡ burza;;;null
3168;hrubì dom c¡ produkt;HDP;;null
3169;dom c¡ pivo;;;null
3170;dom c¡ hranolky;;;null
3171;dom c¡ §ivot;;;null
3172;dom c¡ vØzen¡;;;null
3173;dom c¡ potýeby;;;null
3174;skoro, t‚mØý, m lem, takýka;;pý¡sl;null
3175;skoro, t‚mØý;;pý¡sl;null
3176;skoro, t‚mØý, m lem, takýka;;pý¡sl;null
3177;m lem, t‚mØý, skoro;;;null
3177;vçe a§ na, vçichni a§ na;;;null
3178;vìstava;;§;null
3179;vìstava, expozice;;§;null
3179;pojedn n¡, pod n¡;interpretace;s;null
3180;klub;;m;null
3180;odd¡l;sportovn¡;m;null
3181;noŸn¡ klub;;pý¡d+m;null
3182;baseballovì klub;;;null
3183;spoleŸenskì klub;sport apod.;;null
3184;noŸn¡ klub;;;null
3185;noŸn¡ klub;;;null
3186;znamenat;m¡t vìznam;4p ned;null
3187;znamenat;n sledek;4p ned;null
3188;n‚st s sebou;;ned+pýedl+z jm;null
3188;znamenat;m¡t za n sledek;4p ned;null
3189;znamenat;;4p ned;null
3190;bìt souŸ st¡;;2p ned+§;null
3190;vy§adovat, znamenat;;4p dok;null
3191;znamenat, znaŸit;;4p ned;null
3192;poŸet;;m;null
3193;souŸet;vìsledek matematick‚ operace;m;null
3193;poŸet;mno§stv¡;m;null
3193;vìsledek;sŸ¡t n¡;m;null
3194;poŸet obyvatel;;m+m;null
3194;obyvatelstvo;;s;null
3194;populace;;§;null
3194;stav;zvØýe;m;null
3195;poŸet, souŸet;;m;null
3196;poŸet obØt¡;;m+§ mn;null
3197;n vçtØvnost;poŸet;§;null
3197;poŸet £Ÿastn¡k…, poŸet pý¡tomnìch;poŸet;m+m mn;null
3198;integrov n¡;matematika;s;null
3198;integrace;matematika;§;null
3198;integr ln¡ poŸet;;pý¡d+m;null
3199;nedostatek;;m;null
3199;malì poŸet;;pý¡d+m;null
3200;poŸet lid¡, souŸet lid¡;;§;null
3200;doch zka;;§;null
3201;poŸet zapsanìch student…;;m+pý¡d+m mn;null
3202;dostateŸnì poŸet;;pý¡d+m;null
3202;dostateŸn‚ mno§stv¡;;pý¡d+s;null
3203;bìvalì;man§el;pý¡d;null
3203;ex;man§el;m;null
3204;bìvalì;pý¡tel;pý¡d;null
3204;ex;pý¡tel;m;null
3205;bìvalì, nØkdejç¡, dý¡vØjç¡;;pý¡d;null
3206;n rodn¡;;pý¡d;null
3207;n rodn¡, celon rodn¡;;pý¡d;null
3208;hrubì n rodn¡ produkt;HNP;;null
3209;s¡la;;§;null
3210;s¡la;potenci l;§;null
3211;s¡la;moc;§;null
3212;s¡la;fyzika;§;null
3213;s¡la;ozbrojen ;§;null
3214;s¡la;fyzick ;§;null
3215;s¡la;znak zdrav¡;§;null
3216;s¡la;mor ln¡ apod.;§;null
3217;s¡la p ky;mechanick  vìhoda;§+§;null
3217;p ka;hovorovØ;§;null
3218;s¡la, moc;pýenesenØ;§;null
3219;pracovn¡ci, zamØstnanci;podnik;m mn;null
3219;pracuj¡c¡;podnik;m mn;null
3219;pracovn¡ s¡la;podnik;pý¡d+§;null
3219;pracovn¡ s¡ly;podnik;pý¡d+§ mn;null
3220;pracuj¡c¡;region;m mn;null
3220;pracovn¡ s¡la;region;pý¡d+§ mn;null
3221;pomocn  s¡la;;pý¡d+§;null
3222;potence;medic¡na, chemie;§;null
3222;mocnost, s¡la;fyzika;§;null
3223;s¡la, moc;;§;null
3224;s¡la, prudkost+I176;niŸiv : bouýka apod.;§;null
3225;pracovn¡ s¡la;;pý¡d+§;null
3225;pracuj¡c¡;;m mn;null
3226;hnac¡ s¡la;;pý¡d+§;null
3227;gravitaŸn¡ s¡la;fyzika;pý¡d+§;null
3227;gravitace, pýita§livost;fyzika;§;null
3228;toŸiv  s¡la;;pý¡d+§;null
3229;s¡la, intenzita;;§;null
3230;s¡la sval…;;pý¡d+m mn;null
3231;koåsk  s¡la;;pý¡d+§;null
3232;obrovsk  s¡la;;pý¡d+§;null
3233;hybn  s¡la;pýenesenØ: aktivn¡ ŸlovØk;pý¡d+§;null
3233;motor;pýenesenØ: aktivn¡ ŸlovØk;m;null
3234;oko;;m;null
3234;kukadlo;§ertovnØ;s;null
3235;n straha;na zv¡ýe;§;null
3235;oko;na zv¡ýe;s;null
3236;kuý¡ oko;medic¡nsky;pý¡d+s;null
3237;pØst na oko;;§+pýedl+s;null
3237;ohavnost;;§;null
3238;pýimhouýit oko nad;;7p dok+s;null
3238;tolerovat;;4p ned;null
3239;mnoho, hodnØ;;pý¡sl;null
3240;mnoho, hodnØ;;pý¡sl;null
3241;mnohem;;pý¡sl;null
3241;o mnoho;;pýedl+pý¡sl;null
3242;mnohem;;pý¡sl;null
3242;o mnoho;;pýedl+pý¡sl;null
3243;kolik;v ot zce;z jm;null
3243;moc, mnoho, hodnØ;;pý¡sl;null
3244;mnoho, spousta, hodnØ;a lot of;pý¡sl;null
3244;mno§stv¡;;s;null
3245;ukl dat pý¡liç mnoho pr ce;;3p ned+pý¡sl+z jm+§;null
3245;pýetØ§ovat;prac¡;4p dok;null
3246;hodnØ, moc, mnoho;;;null
3247;hodnØ, mnoho, moc;;2p;null
3248;z kladn¡;;pý¡d;null
3249;z kladn¡;;pý¡d;null
3250;z kladn¡;souŸ st stravy;pý¡d;null
3251;z kladn¡;bez volitelnìch souŸ st¡;pý¡d;null
3252;z kladn¡;ne pokroŸilì;pý¡d;null
3253;z kladn¡;çkola;pý¡d;null
3254;z kladn¡ çkola;prvn¡ stupeå;pý¡d+§;null
3255;hlavn¡, £stýedn¡, z kladn¡;;pý¡d;null
3256;z kladn¡, element rn¡;;pý¡d;null
3257;z kladn¡, element rn¡;;pý¡d;null
3258;z kladn¡ k men;;pý¡d+m;null
3259;hlavn¡, prvoýadì, z kladn¡;nejd…le§itØjç¡;pý¡d;null
3260;hlavn¡, z kladn¡, podstatnì;;pý¡d;null
3261;z sadn¡, z kladn¡;jsouc¡ z kladem, pý¡Ÿinou;pý¡d;null
3261;vstupn¡;data, informace;pý¡d;null
3262;z kladn¡ çkola;çkola: form lnØ;pý¡d+§;null
3262;z kladka;çkola: neform lnØ;§;null
3263;hlavn¡, z kladn¡;nezbytn  souŸ st;pý¡d;null
3264;z kladn¡ barva;podklad;pý¡d+§;null
3265;z kladn¡, fundament ln¡;;pý¡d;null
3266;z kladn¡ potýeby;§ivotn¡;pý¡d+§ mn;null
3267;z kladn¡ deska;poŸ¡taŸ;pý¡d+§;null
3268;z kladn¡ Ÿ ra;;;null
3269;z kladn¡ cena, vìchoz¡ cena;;;null
3270;z kladn¡ sazba;£rok pro dobr‚ klienty;;null
3271;z kladn¡ vìcvik;;;null
3272;z kladn¡ fakta;;;null
3273;z kladn¡ myçlenka;;;null
3274;z kladn¡ çkola;1. stupeå;;null
3275;nejvìhodnØjç¡ £rokov  m¡ra;;;null
3275;z kladn¡ sazba;pro nejlepç¡ klienty banky;;null
3276;z kladn¡ informace;;;null
3277;volba;Ÿinnost;§;null
3277;vìbØr;selekce;m;null
3278;volba;;§;null
3278;vìbØr;;m;null
3279;volba;;§;null
3279;vìbØr;;m;null
3280;volba;preferovan  varianta;§;null
3281;tajn  volba;;pý¡d+§;null
3281;tajn‚ hlasov n¡;;pý¡d+s;null
3282;volba, alternativa;rozhodnut¡;pý¡d+§;null
3283;v…le, volba;;§;null
3284;d lkov  volba;telefon;pý¡d+§;null
3285;pýedseda;mu§;m;null
3285;pýedsedkynØ;§ena;§;null
3286;pýedseda;mu§;m;null
3286;pýedsedkynØ;§ena;§;null
3287;prezident, ýeditel, pýedseda;mu§;m;null
3287;gener ln¡ ýeditel;mu§;pý¡d+m;null
3287;prezidentka, ýeditelka, pýedsedkynØ;§ena;§;null
3287;gener ln¡ ýeditelka;§ena;§;null
3288;prezident;hlava st tu: mu§;m;null
3288;prezidentka;hlava st tu: §ena;§;null
3288;prezident, pýedseda;hlava instituce: mu§;m;null
3288;prezidentka, pýedsedkynØ;hlava instituce: §ena;§;null
3289;premi‚r;st tu;m;null
3289;pýedseda vl dy;st tu: form lnØ;m+§;null
3289;ministerskì pýedseda;st tu;pý¡d+m zdrob;null
3289;kancl‚ý;nØkter‚ zemØ;m;null
3290;pýedseda vl dy;;m+§;null
3290;premi‚r;;m;null
3291;pýedseda spr vn¡ rady;;;null
3292;kolo;;s;null
3292;bicykl;;m;null
3293;kolo;;s;null
3293;bicykl;;m;null
3293;j¡zdn¡ kolo;form lnØ;pý¡d+s;null
3294;kolo;bicykl;s;null
3295;kolo;;s;null
3296;kolo;na autØ;s;null
3297;kolo;kulatì pýedmØt;s;null
3297;kotouŸ;kulatì pýedmØt;m;null
3297;otoŸka;otoŸen¡;§;null
3297;obrat;otoŸen¡;m;null
3298;kolo;pýi z vodØn¡ na okruhu;s;null
3299;pýedbØhnout o kolo;v z vodØ;4p dok+pýedl+s;null
3300;oblastn¡ kolo;;pý¡d+s;null
3301;kolo u vozu;;s+pý¡d+m;null
3302;kateýinsk‚ kolo;ohåostroj;pý¡d+s;null
3303;Ÿestn‚ kolo;;;null
3304;testovac¡ kolo;;;null
3305;vØtçina;skoro vçichni;2p §;null
3306;vØtçina;vØtç¡ Ÿ st;2p §;null
3307;podstatn  Ÿ st;;pý¡d+§;null
3307;vØtçina;;§;null
3308;vØtçina;ve skupinØ;§;null
3309;vØtçina;pýes 50 %;§;null
3310;absolutn¡ vØtçina;;;null
3311;mlŸ¡c¡ vØtçina;;;null
3312;stejnì;;pý¡d;null
3313;stejnì;nezmØnØnì;pý¡d;null
3313;ten samì;hovorovØ;z jm+pý¡d;null
3313;tentì§, tat §, tot‚§;;z jm;null
3314;stejnì, shodnì;identickì;pý¡d;null
3314;ten samì;hovorovØ;z jm+pý¡d;null
3314;toto§nì;form lnØ;pý¡d;null
3314;tentì§, tat §, tot‚§, tì§, t §;;z jm;null
3315;stejnì, shodnì;;pý¡d;null
3316;stejnì jako;;pý¡d+sp;null
3317;stejnì, shodnì, toto§nì;;pý¡d;null
3318;stejnì, rovnì;;pý¡d;null
3319;nezmØnØnì, stejnì, st lì;;pý¡d;null
3320;nezmØnØnì, stejnì;sl vou;pý¡d;null
3321;souhlasit;;;null
3321;m¡t stejnì n zor;;;null
3322;hlava;Ÿ st tØla;§;null
3322;kebule;hovorovØ, §ertovnØ;§;null
3323;hlava;vrcholnì pýedstavitel;§;null
3323;vedouc¡, ýeditel;mu§;m;null
3323;vedouc¡, ýeditelka;§ena;§;null
3324;hlava;;§;null
3324;palice, kedlubna, çiçka;slang;§;null
3324;kokos;slang;m;null
3325;hlava;;m;null
3325;kebule;hovorovØ;§;null
3326;dla§ebn¡ kostka;;pý¡d+§;null
3326;koŸiŸ¡ hlava;§ertovnØ;pý¡d+§;null
3327;chladn  hlava;;;null
3328;hlava dom cnosti;;;null
3329;hlava st tu;;;null
3330;bolav  hlava;;;null
3331;d le;;pý¡sl;null
3332;d le;a tak d le;pý¡sl;null
3333;d le;po nØjak‚m datu;pý¡sl;null
3334;podobnØ;;pý¡sl;null
3334;a tak d le;;sp+pý¡sl+pý¡sl;null
3335;d l, d le;;pý¡sl;null
3335;vzd lenØjç¡;;pý¡d;null
3336;d l, d le, jeçtØ;v¡ce;pý¡sl;null
3337;dopýedu, kupýedu, d le;;pý¡sl;null
3338;dopýedu, kupýedu, d le;;pý¡sl;null
3339;a tak d le;;sp+pý¡sl+pý¡sl;null
3340;d le pronaj¡mat;;pý¡sl+ned;null
3341;d le pronajmout;;4p pý¡sl+dok;null
3341;d le pronaj¡mat;;4p pý¡sl+ned;null
3342;a tak d le;all that jazz;sp+pý¡sl+pý¡sl;null
3343;pýed vat d le;pomluvu;4p ned+pý¡sl;null
3343;ç¡ýit;pomluvu;4p ned;null
3344;a tak d le;;;null
3344;atd.;;;null
3345;a tak d le;;;null
3345;atd.;;;null
3346;d le sledovat;nØco rozdØlan‚ho;4p;null
3347;a tak d le;;;null
3348;moc;;pý¡sl;null
3349;moc;;§;null
3349;vliv;;m;null
3349;slovo;;s;null
3350;chcanky, chc nky;vulg rnØ;§ pomn;null
3350;moŸ;form lnØ;§;null
3351;moŸ;;§;null
3352;kolik;v ot zce;z jm;null
3352;moc, mnoho, hodnØ;;pý¡sl;null
3353;vìkonn  moc;;pý¡d+§;null
3353;exekutiva;;§;null
3354;s¡la, moc;pýenesenØ;§;null
3355;straçnØ moc;;pý¡sl+pý¡sl;null
3356;straçnØ moc;;pý¡sl+pý¡sl;null
3357;§¡znivì;§ertovnØ: auto s velkou spotýebou;pý¡d;null
3357;moc §ere;hovorovØ;pý¡sl+ned;null
3358;s¡la, moc;;§;null
3359;d t moc, d t s¡lu;;3p dok+§;null
3359;pos¡lit, posilnit;;4p dok;null
3360;schopnì udr§et moŸ;;pý¡d+dok+§;null
3361;soudn¡ moc;;pý¡d+§;null
3362;soudn¡ moc;soudcov‚;pý¡d+§;null
3362;soudcovskì stav;;pý¡d+m;null
3363;hodnØ, moc, mnoho;;;null
3364;hodnØ, mnoho, moc;;2p;null
3365;m¡t dost velk‚ rezervy;;;null
3365;nest t za moc;;;null
3366;kdokoli, kdokoliv;libovolnØ;z jm;null
3366;ka§dì;vçichni;z jm;null
3366;nikdo;v z poru;z jm;null
3367;nikdo;;z jm;null
3367;§ dnì;;pý¡d;null
3367;ani jeden;;Ÿ st+Ÿ¡sl;null
3368;nula;nevìznamnì ŸlovØk;§;null
3368;nikdo;nevìznamnì ŸlovØk;m;null
3369;nikdo;;z jm;null
3370;nØkdo;v ot zce;z jm;null
3370;nikdo;v z poru;z jm;null
3370;kdokoli, kdokoliv;v oznamovac¡ vØtØ;z jm;null
3371;nikdo se mu nevyrovn ;;;null
3372;nikdo se tomu nevyrovn ;;;null
3373;nebyl to nikdo jinì ne§;;;null
3373;byl to pýesnØ;;;null
3374;zmØna;;§;null
3375;zmØna;;§;null
3376;pohyb;finance: akcie;m;null
3376;zmØna;;§;null
3377;pýechod;zmØna, posun;m;null
3377;zmØna;;§;null
3378;zmØna;v programu;§;null
3379;zmØna;n zor…;§;null
3379;zvrat;n zorovì;m;null
